계수,이름,도면층,블록 단위,색상,위치 X,위치 Y,위치 Z,주석,회전,각도,길이,끝 X,끝 Y,끝 Z,델타 X,델타 Y,델타 Z,시작 X,시작 Y,시작 Z,면적,반지름,시작 각도,전체 각도,중심점 X,중심점 Y,중심점 Z
1,선,DR,,ByLayer,,,,,,90.00,0.96,37.56,17.02,0.00,0.00,0.96,0.00,37.56,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.04,20.33,16.05,0.00,0.04,0.00,0.00,20.28,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,0.96,20.33,17.02,0.00,0.00,0.96,0.00,20.33,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,20.33,17.02,0.00,0.05,0.00,0.00,20.28,17.02,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.47,,,,,,,,,,0.24,0.96,0.00,87.33,10.53,16.05,0.00
1,선,DR,,ByLayer,,,,,,180.00,0.04,12.42,16.05,0.00,-0.04,0.00,0.00,12.46,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,0.96,12.42,17.02,0.00,0.00,0.96,0.00,12.42,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,0.96,12.46,17.02,0.00,0.00,0.96,0.00,12.46,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,0.96,10.53,17.02,0.00,0.00,0.96,0.00,10.53,16.05,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.47,,,,,,,,,,0.24,0.96,92.67,87.33,12.46,16.05,0.00
1,선,DR,,ByLayer,,,,,,0.00,0.05,10.58,17.02,0.00,0.05,0.00,0.00,10.53,17.02,0.00,,,,,,,
1,doorBlockBoth,DR,미터,ByLayer,9.75,0.00,0.00,,0.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,0.96,22.21,17.02,0.00,0.00,0.96,0.00,22.21,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.04,12.42,17.02,0.00,-0.04,0.00,0.00,12.46,17.02,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.04,10.58,16.05,0.00,0.04,0.00,0.00,10.53,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,0.96,10.58,17.02,0.00,0.00,0.96,0.00,10.58,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,26.06,12.42,0.00,-0.05,0.00,0.00,26.10,12.42,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,26.06,12.42,0.00
1,doorBlock,DR,미터,ByLayer,24.60,12.42,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,26.06,11.42,0.00,0.00,-1.00,0.00,26.06,12.42,0.00,,,,,,,
